"name","id","address","unom","district","area","col_758","col_759","col_760","col_761","col_762","col_763","col_764","col_766","col_769","col_770","col_771","col_772","col_775","col_781","col_1945_del","col_2463","col_3163"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Метрогородок, Открытое ш., д. 27, к. 6","1529434","город Москва, Открытое шоссе, дом 27, корпус 6","18171","Восточный административный округ","муниципальный округ Метрогородок","2048912","5","3","60","2440.3","2440.3","0","","179625102","22728486","0","0","22289163","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Ивановское, Магнитогорская ул., д. 27","1504711","город Москва, Магнитогорская улица, дом 27","13644","Восточный административный округ","муниципальный округ Ивановское","2048789","16","2","207","10638.7","10631.2","7-May","14","179625090","22728486","2","2","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Гольяново, Щёлковское ш., д. 43, к. 1","1503476","город Москва, Щёлковское шоссе, дом 43, корпус 1","29913","Восточный административный округ","муниципальный округ Гольяново","56183261","5","4","80","3406.7","3406.7","0","","179625102","22728486","0","0","22289163","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Метрогородок, Открытое ш., д. 28, к. 7","1511910","город Москва, Открытое шоссе, дом 28, корпус 7","18181","Восточный административный округ","муниципальный округ Метрогородок","2048755","5","3","60","2587.5","2587.5","0","","2048929","22728486","0","0","22289163","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Сокольники, ул. Короленко, д. 7, к. 3","1508259","город Москва, улица Короленко, дом 7, корпус 3","11086","Восточный административный округ","муниципальный округ Сокольники","2048798","5","3","63","3993.3","3031.4","961.9","","179625102","22728486","3","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Косино-Ухтомский, Лухмановская ул., д. 11","1501036","город Москва, Лухмановская улица, дом 11","240146","Восточный административный округ","муниципальный округ Косино-Ухтомский","2048863","24","1","184","9104","8525","579","","2048929","22728486","2","2","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Соколиная Гора, Окружной пр-д, д. 34, к. 3","1522447","город Москва, Окружной проезд, дом 34, корпус 3","17384","Восточный административный округ","муниципальный округ Соколиная Гора","56183254","9","1","72","2626","2581.6","44.4","21","179625107","22728486","1","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Соколиная Гора, 5-я ул. Соколиной Горы, д. 19, к. 1","1530405","город Москва, 5-я улица Соколиной Горы, дом 19, корпус 1","24148","Восточный административный округ","муниципальный округ Соколиная Гора","2048799","14","1","110","5967.8","5325.5","642.3","","179625102","22728486","1","1","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Северное Измайлово, 15-я Парковая ул., д. 52, к. 2","1527578","город Москва, 15-я Парковая улица, дом 52, корпус 2","18974","Восточный административный округ","муниципальный округ Северное Измайлово","2048755","5","3","60","2607.6","2581.5","26-Jan","","2048929","22728486","0","0","22289163","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Измайлово, 4-я Парковая ул., д. 8","1537896","город Москва, 4-я Парковая улица, дом 8","18559","Восточный административный округ","муниципальный округ Измайлово","2048912","5","2","34","1646.2","1347.9","298.3","","179625102","22728486","0","0","22289162","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Перово, Новогиреевская ул., д. 8, к. 1","1539655","город Москва, Новогиреевская улица, дом 8, корпус 1","16444","Восточный административный округ","муниципальный округ Перово","2048912","5","4","80","3417.1","3417.1","0","34","179625102","22728486","0","0","22289162","22289204","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Перово, 1-я Владимирская ул., д. 19/1","1538975","город Москва, 1-я Владимирская улица, дом 19/1","3998","Восточный административный округ","муниципальный округ Перово","2048912","5","4","68","5663.4","5053.9","609.5","","179625102","22728486","0","0","22289162","22289204","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Косино-Ухтомский, Лухмановская ул., д. 5","1524557","город Москва, Лухмановская улица, дом 5","240011","Восточный административный округ","муниципальный округ Косино-Ухтомский","2048842","9","5","144","8537.3","7215.9","1321.4","","2048929","22728486","5","5","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Гольяново, Щёлковское ш., д. 61","1535370","город Москва, Щёлковское шоссе, дом 61","260034","Восточный административный округ","муниципальный округ Гольяново","2048798","22","5","436","44191.6","26088.2","18103.4","","179625110","22728486","5","9","","22289207","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Метрогородок, ул. Николая Химушина, д. 5, к. 2","1523418","город Москва, улица Николая Химушина, дом 5, корпус 2","27916","Восточный административный округ","муниципальный округ Метрогородок","2048755","5","4","80","3535.5","3510.4","25-Jan","","2048929","22728486","0","0","22289163","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Гольяново, Камчатская ул., д. 8, к. 2","1512760","город Москва, Камчатская улица, дом 8, корпус 2","9183","Восточный административный округ","муниципальный округ Гольяново","2048759","14","1","98","4237.7","4237.7","0","","179625104","22728486","1","0","","22289207","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Гольяново, Алтайская ул., д. 6","1530290","город Москва, Алтайская улица, дом 6","366","Восточный административный округ","муниципальный округ Гольяново","2048758","12","1","84","3644.7","3644.7","0","","179625090","22728486","2","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Сокольники, ул. Короленко, д. 6Б","1538378","город Москва, улица Короленко, дом 6Б","11082","Восточный административный округ","муниципальный округ Сокольники","2048798","6","2","42","2152.2","2149","3-Feb","","179625102","22728486","2","0","22289162","22289204","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Сокольники, ул. Сокольнический Вал, д. 24, к. 3","1505885","город Москва, улица Сокольнический Вал, дом 24, корпус 3","24236","Восточный административный округ","муниципальный округ Сокольники","2048798","12","3","173","9965.5","9258.4","707.1","","179625102","22728486","3","3","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Новокосино, Суздальская ул., д. 22, к. 2","1535415","город Москва, Суздальская улица, дом 22, корпус 2","31650","Восточный административный округ","муниципальный округ Новокосино","2048764","14","2","110","6355","6316","39","","2048929","22728486","4","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Ивановское, ш. Энтузиастов, д. 98, к. 4","1520925","город Москва, шоссе Энтузиастов, дом 98, корпус 4","30169","Восточный административный округ","муниципальный округ Ивановское","2048781","9","12","429","20310.5","20266.3","44.2","","2048929","22728486","12","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Восточное Измайлово, Нижняя Первомайская ул., д. 54","1514605","город Москва, Нижняя Первомайская улица, дом 54","31982","Восточный административный округ","муниципальный округ Восточное Измайлово","2048789","16","1","108","5268.3","5116.8","151.5","","179625090","22728486","1","1","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Богородское, Миллионная ул., д. 11, к. 2","1512594","город Москва, Миллионная улица, дом 11, корпус 2","14381","Восточный административный округ","муниципальный округ Богородское","2048798","14","1","80","5272.4","4249.4","1023","29","179625102","22728486","1","1","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Косино-Ухтомский, Оранжерейная ул., д. 16","1516200","город Москва, Оранжерейная улица, дом 16","17613","Восточный административный округ","муниципальный округ Косино-Ухтомский","2048912","2","2","12","646.3","646.3","0","","179625102","22728486","0","0","22289163","22289205","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Новогиреево, Братская ул., д. 21, к. 2","1522143","город Москва, Братская улица, дом 21, корпус 2","2777","Восточный административный округ","муниципальный округ Новогиреево","2048788","16","1","111","6044.8","6044.8","0","","2048929","22728486","1","1","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Восточное Измайлово, 15-я Парковая ул., д. 19","1521621","город Москва, 15-я Парковая улица, дом 19","19223","Восточный административный округ","муниципальный округ Восточное Измайлово","2048758","9","1","72","2590.5","2590.5","0","20","179625090","22728486","1","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Богородское, Краснобогатырская ул., д. 7","96435206","город Москва, Краснобогатырская улица, дом 7","260112","Восточный административный округ","муниципальный округ Богородское","2048798","25","1","183","11777.7","10808.4","969.3","","179625111","22728486","2","2","","22289201","","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Ивановское, Магнитогорская ул., д. 3","1511322","город Москва, Магнитогорская улица, дом 3","13634","Восточный административный округ","муниципальный округ Ивановское","56183429","12","4","191","8758.3","8742.8","15-May","16","2048929","22728486","8","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Сокольники, ул. Матросская Тишина, д. 19, к. 3","1522568","город Москва, улица Матросская Тишина, дом 19, корпус 3","31384","Восточный административный округ","муниципальный округ Сокольники","2048798","5","3","30","2200.9","1938.8","262.1","","179625102","22728486","3","0","22289163","22289204","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Богородское, Погонный пр-д, д. 1, к. 7","1514601","город Москва, Погонный проезд, дом 1, корпус 7","20120","Восточный административный округ","муниципальный округ Богородское","2048912","5","2","40","1880.4","1566.4","314","","179625102","22728486","0","0","22289163","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Перово, 2-я Владимирская ул., д. 40","1528070","город Москва, 2-я Владимирская улица, дом 40","4079","Восточный административный округ","муниципальный округ Перово","2048912","9","1","67","3385","2402","983","","179625090","22728486","1","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Восточное Измайлово, 16-я Парковая ул., д. 25, к. 2","1506293","город Москва, 16-я Парковая улица, дом 25, корпус 2","19002","Восточный административный округ","муниципальный округ Восточное Измайлово","2048755","5","4","79","3497","3471.3","25-Jul","","2048929","22728486","0","0","22289162","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Измайлово, Никитинская ул., д. 8, к. 2","1534398","город Москва, Никитинская улица, дом 8, корпус 2","16165","Восточный административный округ","муниципальный округ Измайлово","2048798","5","4","76","3303.2","3254.6","48.6","0","179625090","22728486","0","0","22289163","22289205","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Северное Измайлово, Сиреневый б-р, д. 3, к. 6","1532094","город Москва, Сиреневый бульвар, дом 3, корпус 6","23729","Восточный административный округ","муниципальный округ Северное Измайлово","2048912","9","4","143","7085.9","7078.7","7-Feb","","2048929","22728486","4","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Восточное Измайлово, 9-я Парковая ул., д. 18","1521812","город Москва, 9-я Парковая улица, дом 18","18724","Восточный административный округ","муниципальный округ Восточное Измайлово","2048912","9","1","70","2787","2427","360","","179625102","22728486","1","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Вешняки, Вешняковская ул., д. 27, к. 5","1537591","город Москва, Вешняковская улица, дом 27, корпус 5","3812","Восточный административный округ","муниципальный округ Вешняки","2048781","9","6","215","10282.8","10282.8","0","28","2048929","22728486","6","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Преображенское, ул. Преображенский Вал, д. 24, к. 3","1519225","город Москва, улица Преображенский Вал, дом 24, корпус 3","20738","Восточный административный округ","муниципальный округ Преображенское","2048798","6","4","49","4237.9","3612.6","625.3","","179625102","22728486","1","0","22289162","22289204","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Перово, Зелёный пр-кт, д. 11А","1502841","город Москва, Зелёный проспект, дом 11А","8344","Восточный административный округ","муниципальный округ Перово","2048798","5","3","50","4349","3583","766","","179625102","22728486","0","0","22289163","22289204","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Ивановское, Большой Купавенский пр-д, д. 4","1506415","город Москва, Большой Купавенский проезд, дом 4","12175","Восточный административный округ","муниципальный округ Ивановское","2048789","16","2","205","12102.5","10604.1","1498.4","","179625090","22728486","2","2","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Измайлово, 1-я Парковая ул., д. 8","1520370","город Москва, 1-я Парковая улица, дом 8","18492","Восточный административный округ","муниципальный округ Измайлово","2048912","9","1","63","2740","2740","0","","179625090","22728486","2","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Соколиная Гора, 5-я ул. Соколиной Горы, д. 19","1524072","город Москва, 5-я улица Соколиной Горы, дом 19","24147","Восточный административный округ","муниципальный округ Соколиная Гора","2048912","5","5","100","4664.5","4320.8","343.7","","179625102","22728486","0","0","22289163","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Новокосино, Суздальская ул., д. 2/3","1506464","город Москва, Суздальская улица, дом 2/3","82056","Восточный административный округ","муниципальный округ Новокосино","2048842","7","6","104","7424.9","6984","440.9","","2048929","22728486","6","0","","22289207","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Вешняки, Косинская ул., д. 24, к. 1","1523826","город Москва, Косинская улица, дом 24, корпус 1","11123","Восточный административный округ","муниципальный округ Вешняки","2048781","9","4","144","7270.8","7270.8","0","","2048929","22728486","4","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Восточный, Главная ул., д. 25","1521395","город Москва, Главная улица, дом 25","5494","Восточный административный округ","муниципальный округ Восточный","2048755","9","4","144","7138.3","7121.3","17","27","2048929","22728486","4","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Ивановское, Саянская ул., д. 20","1519622","город Москва, Саянская улица, дом 20","22777","Восточный административный округ","муниципальный округ Ивановское","2048759","14","1","98","4257.4","4240.2","17-Feb","8","179625090","22728486","2","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Гольяново, Камчатская ул., д. 8, к. 1","1519919","город Москва, Камчатская улица, дом 8, корпус 1","9182","Восточный административный округ","муниципальный округ Гольяново","2048755","9","4","142","6175.1","6172.7","2-Apr","14","2048929","22728486","2","2","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Новогиреево, Мартеновская ул., д. 22, к. 2","1520739","город Москва, Мартеновская улица, дом 22, корпус 2","13848","Восточный административный округ","муниципальный округ Новогиреево","2048752","5","3","60","2474","2474","0","","179625102","22728486","0","0","22289163","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Сокольники, Охотничья ул., д. 6","1533603","город Москва, Охотничья улица, дом 6","18228","Восточный административный округ","муниципальный округ Сокольники","2048755","9","4","143","7128.8","7079.7","49.1","","2048929","22728486","4","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Соколиная Гора, 5-я ул. Соколиной Горы, д. 25, к. 1","1525732","город Москва, 5-я улица Соколиной Горы, дом 25, корпус 1","24161","Восточный административный округ","муниципальный округ Соколиная Гора","56183263","12","1","80","4106.3","3477.2","629.1","30","179625090","22728486","2","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Измайлово, 1-я Парковая ул., д. 11","1518512","город Москва, 1-я Парковая улица, дом 11","18495","Восточный административный округ","муниципальный округ Измайлово","2048912","5","5","96","4609.7","4158","451.7","","179625102","22728486","0","0","22289162","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Перово, ул. Металлургов, д. 60, к. 1","1526746","город Москва, улица Металлургов, дом 60, корпус 1","14269","Восточный административный округ","муниципальный округ Перово","2048912","5","4","70","5895.7","5007.2","888.5","","179625102","22728486","0","0","22289162","22289204","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Вешняки, Косинская ул., д. 20/17, к. 1","1516202","город Москва, Косинская улица, дом 20/17, корпус 1","11120","Восточный административный округ","муниципальный округ Вешняки","2048781","9","4","143","7057","7043.4","13-Jun","28","2048929","22728486","4","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Новокосино, Салтыковская ул., д. 3/17","1538054","город Москва, Салтыковская улица, дом 3/17","80026","Восточный административный округ","муниципальный округ Новокосино","2048826","6","4","57","4155.8","4047.8","108","9","2048929","22728486","4","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Северное Измайлово, Щёлковское ш., д. 46","1530345","город Москва, Щёлковское шоссе, дом 46","29921","Восточный административный округ","муниципальный округ Северное Измайлово","2048798","5","3","60","2539.2","2534.4","4-Aug","","179625090","22728486","0","0","22289162","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Соколиная Гора, Большая Семёновская ул., д. 29/2","1539229","город Москва, Большая Семёновская улица, дом 29/2","14111","Восточный административный округ","муниципальный округ Соколиная Гора","2048912","8","2","64","2862.8","2513.8","349","46","179625102","22728486","2","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Новогиреево, Зелёный пр-кт, д. 48, к. 2","1533804","город Москва, Зелёный проспект, дом 48, корпус 2","8379","Восточный административный округ","муниципальный округ Новогиреево","56183254","12","1","84","3663.6","3663.6","0","","179625090","22728486","2","0","","22289201","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Сокольники, ул. Матросская Тишина, д. 16А","1536645","город Москва, улица Матросская Тишина, дом 16А","14024","Восточный административный округ","муниципальный округ Сокольники","2048798","5","","30","2766.5","2302.6","463.9","","179625102","22728486","0","0","22289162","22289204","0","42875644","58761330"
"Дом по адресу РФ, г. Москва, вн.тер.г. м.о. Богородское, Яузская ал., д. 4","1522175","город Москва, Яузская аллея, дом 4","29468","Восточный административный округ","муниципальный округ Богородское","2048912","5","4","73","3474.6","3104.1","370.5","","179625102","22728486","0","0","22289163","22289204","0","42875644","58761330"
